Team,District Points,Alliance Points,Elimination Points,Qualification Points,Award Points,Qualification Win %,Top Qualification Rank,Top Alliance Seed,Top Alliance Pick,Playoff Level,Top Ranking Score,Top Cumulative Auto,Top Cumulative Endgame,Top Cumulative Teleop
frc2609,55,15,20,20,0,0.6666666666666666,3,2,0,1,1.58,354.0,600.0,366.0
frc865,78,16,30,22,10,0.8333333333333334,1,1,0,1,2.08,406.0,645.0,345.0
frc3683,76,15,30,21,10,0.9166666666666666,2,2,0,1,2.16,363.0,465.0,518.0
frc188,73,16,30,22,5,0.9166666666666666,1,1,0,1,2.16,514.0,585.0,510.0
frc2200,72,16,30,21,5,0.75,2,1,1,1,1.91,398.0,650.0,597.0
frc1325,72,16,30,21,5,0.75,2,1,1,1,2.0,380.0,675.0,329.0
frc5024,66,16,20,22,8,0.9166666666666666,1,1,0,1,2.16,425.0,550.0,332.0
frc1114,65,15,30,15,5,0.5833333333333334,10,2,1,1,1.25,497.0,300.0,297.0
frc4519,60,16,20,19,5,0.75,3,1,1,1,1.75,441.0,505.0,382.0
frc8089,45,1,30,9,5,0.4166666666666667,29,1,2,1,0.83,227.0,345.0,208.0
frc4015,51,11,20,15,5,0.6666666666666666,9,6,0,1,1.41,361.0,355.0,232.0
frc4946,51,14,10,19,8,0.5833333333333334,4,3,0,2,1.58,300.0,495.0,424.0
frc4976,50,15,20,15,0,0.5833333333333334,13,2,1,1,1.33,380.0,455.0,386.0
frc7558,44,13,10,16,5,0.5833333333333334,8,4,1,2,1.41,382.0,495.0,396.0
frc4525,48,15,10,15,8,0.5833333333333334,10,2,1,2,1.33,389.0,490.0,237.0
frc5834,48,14,10,19,5,0.6666666666666666,4,3,0,2,1.66,380.0,500.0,281.0
frc4039,48,13,10,15,10,0.5833333333333334,12,4,1,2,1.33,390.0,480.0,419.0
frc4476,47,14,10,18,5,0.75,6,3,1,2,1.5,385.0,390.0,455.0
frc610,46,13,10,18,5,0.6666666666666666,5,4,0,2,1.5,509.0,460.0,455.0
frc1285,46,13,10,18,5,0.75,5,4,0,2,1.58,387.0,315.0,377.0
frc1374,39,6,20,8,5,0.4166666666666667,24,6,2,1,0.91,326.0,355.0,131.0
frc1241,45,14,10,16,5,0.5833333333333334,7,3,1,2,1.41,404.0,360.0,317.0
frc781,43,11,20,12,0,0.3333333333333333,17,6,1,1,1.0,319.0,405.0,228.0
frc8081,33,9,0,16,8,0.5833333333333334,10,8,0,3,1.41,271.0,530.0,195.0
